Name Size Attack Defense Speed HP
Bulbasaur 9 9 6 3 5
Ivysaur 5 10 0 0 6
Venusaur 7 7 9 0 4
Charmander 4 8 2 9 10
Charmeleon 10 1 0 0 4
Charizard 1 8 9 3 2
Squirtle 3 10 9 0 7
Wartortle 4 4 10 4 8
Blastoise 1 4 7 5 5
Caterpie 1 8 3 2 10
Metapod 1 3 7 5 9
Butterfree 7 6 1 7 5
Weedle 0 9 6 5 7
Kakuna 9 9 1 2 0
Beedrill 0 7 7 7 7
Pidgey 5 6 9 9 6
Pidgeotto 5 4 1 9 5
Pidgeot 8 5 2 7 1
Rattata 8 1 6 5 0
Raticate 10 6 1 7 1
Spearow 4 2 9 1 7
Fearow 7 6 10 3 10
Ekans 7 4 10 7 7
Arbok 2 3 4 6 2
Pikachu 9 10 0 5 9
Raichu 4 7 7 6 7
Sandshrew 4 6 3 8 3
Sandslash 10 0 10 1 10
Nidoran(F) 9 2 8 2 0
Nidorina 6 9 6 10 10
Nidoqueen 2 2 2 4 5
Nidoran(M) 9 5 7 9 2
Nidorino 8 4 6 8 9
Nidoking 2 4 1 5 8
Clefairy 8 4 1 4 2
Clefable 3 8 6 6 5
Vulpix 9 5 10 5 8
Ninetales 1 0 3 6 7
Jigglypuff 6 0 6 0 9
Wigglytuff 0 9 7 5 9
